project_code,mouse_id,experience_level,image_set,exp_id,session_id
VisualBehaviorMultiscope,453990,Familiar,['A'],[916803619 916803621 916803626],916650386
VisualBehaviorMultiscope,453990,Novel 1,['B'],[921024187 921024189 921024193 921024195 921024197 921024201],920695792
VisualBehaviorMultiscope,453990,Novel >1,['B'],[924198883 924198885 924198889 924198891 924198895],923705570
VisualBehaviorMultiscope,523922,Familiar,['A'],[1048483604 1048483608 1048483611 1048483613 1048483614 1048483616],1048363441
VisualBehaviorMultiscope,523922,Novel 1,['B'],[1050762966 1050762969 1050762972 1050762974 1050762975 1050762977],1050597678
VisualBehaviorMultiscope,523922,Novel >1,['B'],[1051249026 1051249029 1051249031],1051107431
VisualBehaviorMultiscope,544965,Familiar,['A'],[1076531970 1076531974 1076531975 1076531978 1076531981 1076531985],1076239955
VisualBehaviorMultiscope,544965,Novel 1,['B'],[1077790921 1077790923 1077790925 1077790928 1077790931 1077790934],1077657878
VisualBehaviorMultiscope,544965,Novel >1,['B'],[1078699501 1078699504 1078699506 1078699513],1078596841
VisualBehaviorMultiscope,546605,Familiar,['A'],[1080945462 1080945465 1080945468 1080945471],1080522184
VisualBehaviorMultiscope,546605,Novel 1,['B'],[1081870753 1081870756],1081652280
VisualBehaviorMultiscope,546605,Novel >1,['B'],[1082841179 1082841182 1082841185],1082487233
